0.030684,0.987615,0.000125,0.628432,0.003582,0.999833,0.078869,0.999225,0.000009,0.2,0,0.924241,0.484196,0,0.166667,0.367225,0.181715,0.285714,0.131891,0.00104,0,0,-1
0.018096,0.953394,0.001804,0.97126,0.001993,0.99981,0.000714,0.999828,0.000002,0.2,0.92642,0,0.049407,0.2,0.166667,0.413331,0.408311,0.4,0.401147,0.035574,0,0,-1
0.014949,0.91464,0.007085,0.591323,0.046434,0.995476,0.169973,0.981088,0.00188,0.2,0,0.854487,0.481427,0,0.166667,0.375144,0.405747,0.5,0.122623,0.00085,0,0,-1
0.014162,0.933145,0.004524,0.967711,0.003397,0.999653,0.001061,0.99977,0.000008,0.2,0.900338,0,0.05,0.2,0,0.390898,0.474268,0.2,0.309832,0.014668,0,0,-1
0.057436,0.88411,0.004177,0.838549,0.008334,0.999553,0.008391,0.999466,0.000017,0.2,0.972635,0.98795,0.261282,0.2,0.5,0.401188,0.170313,0.111111,0.273713,0.009705,0,0,-1
0.027539,0.859585,0.011856,0.911439,0.010539,0.998913,0.004843,0.999323,0.000054,0.2,0.977685,0.961653,0.182519,0.2,0.166667,0.395653,0.245521,0.142857,0.255757,0.00777,0,0,-1
0.006294,0.764777,0.096774,0.763226,0.132309,0.938073,0.101089,0.944348,0.027219,0.2,0,0,1,0,0,0.431881,0.766254,0.333333,0.100003,0.000495,0,0,-1
0.028324,0.764154,0.032485,0.53514,0.087309,0.986248,0.130648,0.975862,0.003941,0.2,0,0.924011,0.480622,0,0.166667,0.404232,0.269859,0.166667,0.096923,0.000457,0,0,-1
0.016522,0.774808,0.046083,0.882428,0.032894,0.992335,0.012885,0.99635,0.000856,0.2,0.894107,0,0.051193,0.2,0,0.443071,0.424,0.2,0.176107,0.002408,0,0,-1
0.076321,0.74296,0.015985,0.974709,0.00254,0.999736,0.000191,0.999848,0.000001,0.2,0.991124,0,0.05076,0.4,0,0.414023,0.127899,0.1,0.229271,0.005461,0,0,-1
0.040913,0.714046,0.034581,0.706319,0.048508,0.993278,0.037684,0.993804,0.00087,0.2,0.893306,0.923315,0.631591,0.2,0.333333,0.410388,0.222535,0,0.180031,0.002574,0,0,-1
